Fiscal_Year,Agency_Budget_Code,Agency_Acronym,Agency_Full_Name_,Measure_Name,Data_Type_Formula,Measure_Type,Directionality,Frequency,YE_Target,Q1_Actual,Q2_Actual,Q3_Actual,Q4_Actual,YE_Actual,YE_Rating_%,Rating,Budget_Program,OBJECTID
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of capacity building efforts provided to AAPI community organizations and individuals.,Raw Number,Output,Up is Better,Quarterly,207,45,33,102,102,282, > 100%,Fully Achieved,,10
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of inquiries or assisance requests from District Agencies,Raw Number,Output,Neutral,Annual,0,,,,,0,Not Rated W,Workload Measure,,11
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percent of constituent issues/cases resolved,Percentage,Output,Up is Better,Quarterly,95,100,100,100,100,100, > 100%,Fully Achieved,,12
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percentage of DC agencies giving a satisfactory or above rating on OAPIA�s technical assistance efforts.,Percentage,Quality,Up is Better,Annual,90,,,,100,100, > 100%,Fully Achieved,,13
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percentage of satisfactory or above rating on OAPIA services.,Percentage,Quality,Up is Better,Quarterly,90,100,100,100,100,100, > 100%,Fully Achieved,,14
2013,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Subgrantee�s % of budget spent on programmatic costs ,Percentage,Output,Up is Better,Quarterly,65,100,100,100,100,100, > 100%,Fully Achieved,,15
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Hold Monthly Open/Public Board Meeting,Raw Number,Demand,Up is Better,Annual,16,,,,16,16,100%,Fully Achieved,BOARD OF ETHICS                                   ,16
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Number of  formal investigations completed,Raw Number,Output,Neutral,Annual,0,,,,10,10,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,17
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Number of formal advisory opinions issued,Raw Number,Output,Neutral,Annual,0,,,,25,25,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,18
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Number of formal investigations initiated ,Raw Number,Output,Neutral,Annual,0,,,,18,18,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,19
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Number of preliminary investigations dismissed,Raw Number,Output,Neutral,Annual,0,,,,27,27,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,20
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Number of preliminary investigations of a possible violation of the Code of Conduct initiated,Raw Number,Output,Neutral,Annual,0,,,,43,43,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,21
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Number of preliminary investigations opened based on tips to the hotline,Raw Number,Output,Neutral,Annual,0,,,,1,1,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,22
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Preliminary investigations opened based on calls other than calls to the hotline,Raw Number,Output,Neutral,Annual,0,,,,4,4,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,23
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,"Preliminary investigations opened based on documents received, including emails",Raw Number,Output,Neutral,Annual,0,,,,27,27,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,24
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Preliminary investigations opened based on information provided in meetings/interviews ,Raw Number,Output,Neutral,Annual,0,,,,5,5,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,25
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Preliminary investigations opened based on media reports/sources,Raw Number,Output,Neutral,Annual,0,,,,7,7,Not Rated W,Workload Measure,BOARD OF ETHICS                                   ,26
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Produce and Publish Online Quarterly Reports ,Raw Number,Demand,Up is Better,Annual,4,,,,4,4,100%,Fully Achieved,BOARD OF ETHICS                                   ,27
2013,AG0,BEGA,District of Columbia Board of Ethics and Government Accountability,Produce and publish Best Practices  Report,Raw Number,Demand,Up is Better,Annual,1,,,,1,1,100%,Fully Achieved,BOARD OF ETHICS                                   ,28
2013,DL0,BOE,"Elections, Board of",Number of absentee ballots requested by deadline,Raw Number,Demand,Neutral,Annual,0,,,,24031,24031,Not Rated W,Workload Measure,ELECTION OPERATIONS,29
2013,DL0,BOE,"Elections, Board of",Number of early voting centers opened,Raw Number,Output,Up is Better,Annual,8,,,,9,9, > 100%,Fully Achieved,ELECTION OPERATIONS,30
2013,DL0,BOE,"Elections, Board of",Number of polling places opened at 7 AM on Election Day,Raw Number,Outcome,Up is Better,Annual,143,,,,143,143,100.00%,Fully Achieved,ELECTION OPERATIONS,31
2013,DL0,BOE,"Elections, Board of",Number of polling places with electronic voting machine (DRE) zero tapes printed at 7 AM on Election Day,Raw Number,Outcome,Up is Better,Annual,143,,,,269,269, > 100%,Fully Achieved,ELECTION OPERATIONS,32
2013,DL0,BOE,"Elections, Board of",Number of polling places with optical scan zero tapes printed at 7 AM on Election Day,Raw Number,Outcome,Up is Better,Annual,143,,,,265,265, > 100%,Fully Achieved,ELECTION OPERATIONS,33
2013,DL0,BOE,"Elections, Board of",Number of polling places with voting data returned to headquarters by midnight on Election Night,Raw Number,Efficiency,Up is Better,Annual,143,,,,284,284, > 100%,Fully Achieved,ELECTION OPERATIONS,34
2013,DL0,BOE,"Elections, Board of",Number of special ballots processed,Raw Number,Demand,Neutral,Annual,0,,,,41189,41189,Not Rated W,Workload Measure,ELECTION OPERATIONS,35
2013,DL0,BOE,"Elections, Board of","Number of voter education, registration, or absentee voting events",Raw Number,Output,Up is Better,Quarterly,120,49,9,24,27,109,91%,Partially Achieved,ELECTION OPERATIONS,36
2013,DL0,BOE,"Elections, Board of",Number of voter registration applications received (new and updates),Raw Number,Demand,Neutral,Quarterly,0,70987,22391,11557,18794,123729,Not Rated W,Workload Measure,ELECTION OPERATIONS,37
2013,DL0,BOE,"Elections, Board of",Total ballots cast and counted,Raw Number,Demand,Neutral,Annual,0,,,,351492,351492,Not Rated W,Workload Measure,ELECTION OPERATIONS,38
2013,AF0,CAB,Contract Appeals Board,Percent of protests resolved within 60 business days.,Percentage,Output,Up is Better,Annual,90,,,,96,96, > 100%,Fully Achieved,,39
2013,AF0,CAB,Contract Appeals Board,Percentage of appeals cases decided within 4 months of the cases being ready for decision.,Percentage,Output,Up is Better,Annual,90,,,,78.57,78.57,87.30%,Partially Achieved,,40
2013,AF0,CAB,Contract Appeals Board,Percentage of cases closed by the Board which are electronically archived to permit web-based retrieval and full-text searching capability,Percentage,Output,Up is Better,Annual,100,,,,100,100,100%,Fully Achieved,CONTRACT APPEALS BOARD,41
2013,AF0,CAB,Contract Appeals Board,Percentage of decisions sustained on appeal.,Percentage,Output,Up is Better,Annual,100,,,,33.33,33.33,33.33%,Not Achieved,CONTRACT APPEALS BOARD,42
2013,AF0,CAB,Contract Appeals Board,Percentage of new cases using electronic filing system.,Percentage,Output,Up is Better,Annual,100,,,,100,100,100%,Fully Achieved,CONTRACT APPEALS BOARD,43
2013,BX0,CAH,"Arts and Humanities, Commission on the",Amount of Grant Dollars Requested,Dollar Amount,Demand,Neutral,Annual,0,,,,32000000,32000000,Not Rated W,Workload Measure,ARTS BUILDING COMMUNITIES,44
2013,BX0,CAH,"Arts and Humanities, Commission on the",Amount of grant dollars managed,Dollar Amount,Input,Neutral,Annual,0,,,,11100000,11100000,Not Rated W,Workload Measure,ADMINISTRATION,45
2013,BX0,CAH,"Arts and Humanities, Commission on the",Dollars invested from non-District Government sources per $1 investment by DCCAH.,Ratio,Outcome,Up is Better,Quarterly,6.75,9.34,1.7,4.93,5.5,6.76, > 100%,Fully Achieved,ARTS BUILDING COMMUNITIES,46
2013,BX0,CAH,"Arts and Humanities, Commission on the","Number of DC schools; DPR Centers; and community centers benefitting from DCCAH grants.",Raw Number,Outcome,Up is Better,Quarterly,130,85,50,6,4,145, > 100%,Fully Achieved,ARTS LEARNING AND OUTREACH,47
2013,BX0,CAH,"Arts and Humanities, Commission on the",Number of Grant Applications,Raw Number,Outcome,Neutral,Annual,0,,,,941,941,Not Rated W,Workload Measure,ARTS LEARNING AND OUTREACH,48
2013,BX0,CAH,"Arts and Humanities, Commission on the",Number of patrons served through DCCAH programs,Raw Number,Output,Neutral,Annual,0,,,,42000000,42000000,Not Rated W,Workload Measure,ARTS BUILDING COMMUNITIES,49
2013,BX0,CAH,"Arts and Humanities, Commission on the",Per Capita Spending on the Arts,Dollar Amount,Outcome,Neutral,Annual,0,,,,11.7,11.7,Not Rated W,Workload Measure,ARTS BUILDING COMMUNITIES,50
2013,BX0,CAH,"Arts and Humanities, Commission on the",Percent of Grants to New Applicants,Percentage,Outcome,Up is Better,Quarterly,5,16.21,18.37,0,13.89,15.79, > 100%,Fully Achieved,ARTS BUILDING COMMUNITIES,51
2013,BX0,CAH,"Arts and Humanities, Commission on the",Percent of grant payments processed within six to eight weeks.,Percentage,Efficiency,Up is Better,Quarterly,97,15.2,180.2,409.09,226.39,98.62, > 100%,Fully Achieved,ARTS BUILDING COMMUNITIES,52
2013,BX0,CAH,"Arts and Humanities, Commission on the",Percent of scheduled monitoring reports as defined in agency monitoring plan completed for each grant award,Percentage,Efficiency,Up is Better,Quarterly,100,37.5,240.54,181.82,131.94,94.29,94.29%,Partially Achieved,ARTS BUILDING COMMUNITIES,53
2013,RL0,CFSA,Child and Family Services Agency,Children ages zero to 6 receive developmental screenings upon entry into foster care ,Percentage,Output,Up is Better,Quarterly,60,68.57,82.22,75,81.63,77.4, > 100%,Fully Achieved,AGENCY PROGRAMS                                   ,54
2013,RL0,CFSA,Child and Family Services Agency,Children and youth  receive an initial pre-placement screening ,Percentage,Output,Up is Better,Quarterly,95,83.82,87.63,93.52,93.83,90.11,94.86%,Partially Achieved,AGENCY PROGRAMS                                   ,55
2013,RL0,CFSA,Child and Family Services Agency,Children and youth receive full medical evaluation within 30 days of entering care,Percentage,Output,Up is Better,Quarterly,85,57.45,65.37,73.99,77.51,69.72,82.03%,Partially Achieved,AGENCY PROGRAMS                                   ,56
2013,RL0,CFSA,Child and Family Services Agency,Decrease placements in group  homes,Percentage,Output,Down is Better,Quarterly,6,5.43,4.73,4.51,4.27,4.75, > 100%,Fully Achieved,AGENCY PROGRAMS                                   ,57
2013,RL0,CFSA,Child and Family Services Agency,Decrease re-entries into care within 12 months of exit or reunification,Percentage,Outcome,Down is Better,Annual,9.9,,,,11.82,11.82,83.77%,Partially Achieved,AGENCY PROGRAMS                                   ,58
2013,RL0,CFSA,Child and Family Services Agency,Decrease the  average  number of months to  adoption ,Raw Number,Outcome,Down is Better,Quarterly,36,0,0,0,46,46,78.26%,Partially Achieved,AGENCY PROGRAMS                                   ,59
2013,RL0,CFSA,Child and Family Services Agency,Decrease the average number of months to  reunification,Raw Number,Output,Down is Better,Quarterly,12,0,0,0,18,18,66.67%,Not Achieved,AGENCY PROGRAMS                                   ,60
2013,RL0,CFSA,Child and Family Services Agency,Decrease the number of youth who age out of care,Percentage,Outcome,Down is Better,Quarterly,18,24,29.01,17.65,23.02,23.27,77.34%,Partially Achieved,AGENCY PROGRAMS                                   ,61
2013,RL0,CFSA,Child and Family Services Agency,Decreased disconnected youth ages 16-21(not in school or working),Raw Number,Output,Down is Better,Quarterly,41,0,0,0,37,37, > 100%,Fully Achieved,AGENCY PROGRAMS                                   ,62
2013,RL0,CFSA,Child and Family Services Agency,Exits to a permanent home,Percentage,Outcome,Up is Better,Quarterly,83,,,,76.44,76.44,92.10%,Partially Achieved,AGENCY PROGRAMS                                   ,63
2013,RL0,CFSA,Child and Family Services Agency,In-home children served,Raw Number,Efficiency,Neutral,Quarterly,0,0,0,0,1792,1792,Not Rated W,Workload Measure,AGENCY PROGRAMS                                   ,64
2013,RL0,CFSA,Child and Family Services Agency,In-home families served,Raw Number,Efficiency,Neutral,Quarterly,0,570,0,0,578,1148,Not Rated W,Workload Measure,AGENCY PROGRAMS                                   ,65
2013,RL0,CFSA,Child and Family Services Agency,Increase college entry rate,Percentage,Output,Up is Better,Annual,30,,,,35.09,35.09, > 100%,Fully Achieved,AGENCY PROGRAMS                                   ,66
2013,RL0,CFSA,Child and Family Services Agency,Increase college graduation rate ,Percentage,Outcome,Up is Better,Annual,25,,,,18.37,18.37,73.47%,Not Achieved,AGENCY PROGRAMS                                   ,67
2013,RL0,CFSA,Child and Family Services Agency,Increase employed youths ages 20-21,Percentage,Output,Up is Better,Quarterly,50,,,,44.07,44.07,88.14%,Partially Achieved,AGENCY PROGRAMS                                   ,68
2013,RL0,CFSA,Child and Family Services Agency,Increase high school graduation rate ,Percentage,Outcome,Up is Better,Annual,30,,,,71.05,71.05, > 100%,Fully Achieved,AGENCY PROGRAMS                                   ,69
2013,RL0,CFSA,Child and Family Services Agency,Increase of relative placements,Percentage,Output,Up is Better,Quarterly,26,17.19,18.43,19.55,24.25,19.77,76.03%,Partially Achieved,AGENCY PROGRAMS                                   ,70
2013,RL0,CFSA,Child and Family Services Agency,Increase placements in DC foster homes ,Raw Number,Output,Up is Better,Quarterly,250,0,0,0,568,568, > 100%,Fully Achieved,AGENCY PROGRAMS                                   ,71
2013,RL0,CFSA,Child and Family Services Agency,Increase placements in family foster homes,Percentage,Output,Up is Better,Quarterly,82,81.32,82.56,82.34,82.49,82.16, > 100%,Fully Achieved,AGENCY PROGRAMS                                   ,72
2013,RL0,CFSA,Child and Family Services Agency,Increase third graders  performing  at grade level,Percentage,Outcome,Up is Better,Annual,38,,,,16.22,16.22,42.67%,Not Achieved,AGENCY PROGRAMS                                   ,73
2013,RL0,CFSA,Child and Family Services Agency,Increase youth engaged in after care services ,Percentage,Outcome,Up is Better,Annual,75,,,,92.26,92.26, > 100%,Fully Achieved,AGENCY PROGRAMS                                   ,74
2013,RL0,CFSA,Child and Family Services Agency,Out of home children served  ,Raw Number,Efficiency,Neutral,Quarterly,0,1472,1416,1376,1336,5600,Not Rated W,Workload Measure,AGENCY PROGRAMS                                   ,75
2013,RL0,CFSA,Child and Family Services Agency,Percent of investigations closed within 35 days,Percentage,Output,Up is Better,Quarterly,85,66.12,56.33,48.11,62.1,57.8,68.00%,Not Achieved,AGENCY PROGRAMS                                   ,76
2013,RL0,CFSA,Child and Family Services Agency,Percent of investigations initiated 48 hours,Percentage,Output,Up is Better,Quarterly,85,77.67,79.22,84.21,87.13,81.67,96.08%,Partially Achieved,AGENCY MANAGEMENT PROGRAM,77
2013,RL0,CFSA,Child and Family Services Agency,Rate of substantiated child/abuse and neglect per 1000 children,Raw Number,Efficiency,Neutral,Annual,0,,,,15.5,15.5,Not Rated W,Workload Measure,AGENCY PROGRAMS                                   ,78
2013,RL0,CFSA,Child and Family Services Agency,Reduce the number  of  foster care placements,Percentage,Output,Down is Better,Quarterly,75,,,,78.39,78.39,95.68%,Partially Achieved,AGENCY PROGRAMS                                   ,79
2013,RL0,CFSA,Child and Family Services Agency,Total hotline calls received ,Raw Number,Demand,Neutral,Quarterly,0,3191,3887,3663,3169,13910,Not Rated W,Workload Measure,AGENCY PROGRAMS                                   ,80
2013,RL0,CFSA,Child and Family Services Agency,Total new investigations,Raw Number,Demand,Neutral,Quarterly,0,1701,1889,1302,1220,6112,Not Rated W,Workload Measure,AGENCY PROGRAMS                                   ,81
2013,RL0,CFSA,Child and Family Services Agency,Total population served,Raw Number,Efficiency,Neutral,Quarterly,0,0,0,0,3137,3137,Not Rated W,Workload Measure,AGENCY PROGRAMS                                   ,82
2013,DQ0,CJDT,"Judicial Disabilities and Tenure, Commission on",Number of Judicial Misconduct Complaints Reviewed,Raw Number,Output,Up is Better,Annual,40,,,,58,58, > 100%,Fully Achieved,,83
2013,DQ0,CJDT,"Judicial Disabilities and Tenure, Commission on",Number of Judicial Misconduct Investigations Completed,Raw Number,Output,Up is Better,Annual,15,,,,12,12,80.00%,Partially Achieved,,84
2013,DQ0,CJDT,"Judicial Disabilities and Tenure, Commission on",Number of Judicial Reappointment Evaluations Completed ,Raw Number,Output,Up is Better,Annual,4,,,,3,3,75.00%,Partially Achieved,,85
2013,DQ0,CJDT,"Judicial Disabilities and Tenure, Commission on",Number of Senior Judge Reviews Completed,Raw Number,Output,Up is Better,Annual,13,,,,12,12,92.31%,Partially Achieved,,86
2013,RM0,DBH,"Behavioral Health, Department of",Adult and child provider average quality scores,Ratio,Outcome,Neutral,Annual,0,,,,86.41,86.41,Not Rated W,Workload Measure,MENTAL HEALTH AUTHORITY,87
2013,RM0,DBH,"Behavioral Health, Department of",Adults receive at least one (1) non-crisis service in a non-emergency setting within 30 days of discharge from a psychiatric hospitalization,Percentage,Outcome,Up is Better,Annual,80,,,,78.24,78.24,97.80%,Partially Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,88
2013,RM0,DBH,"Behavioral Health, Department of",Adults receive at least one (1) non-crisis service in a non-emergency setting within 7 days of discharge from a psychiatric hospitalization,Percentage,Outcome,Up is Better,Annual,70,,,,67.86,67.86,96.94%,Partially Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,89
2013,RM0,DBH,"Behavioral Health, Department of",Baseline and  reduced C/Y bed days in PRTFs,Percentage,Outcome,Down is Better,Annual,50881,,,,0.35,0.35, > 100%,Fully Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,90
2013,RM0,DBH,"Behavioral Health, Department of",Child/youth CSRs overall system performance,Percentage,Outcome,Up is Better,Annual,70,,,,69.77,69.77,99.67%,Partially Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,91
2013,RM0,DBH,"Behavioral Health, Department of",Children/youth receive at least one (1) non-crisis service in a non-emergency setting within 30 days of discharge from a psychiatric hospitalization,Percentage,Outcome,Up is Better,Annual,80,,,,83.3,83.3, > 100%,Fully Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,92
2013,RM0,DBH,"Behavioral Health, Department of",Children/youth receive at least one (1) non-crisis service in a non-emergency setting within 7 days of discharge from a psychiatric hospitalization,Percentage,Outcome,Up is Better,Annual,70,,,,67.33,67.33,96.19%,Partially Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,93
2013,RM0,DBH,"Behavioral Health, Department of",Competency-based recovery model training,Percentage,Outcome,Up is Better,Annual,95,,,,99.44,99.44, > 100%,Fully Achieved,SAINT ELIZABETHS HOSPITAL,94
2013,RM0,DBH,"Behavioral Health, Department of",Crisis stabilization bed utilization ,Percentage,Outcome,Neutral,Annual,0,,,,87.98,87.98,Not Rated W,Workload Measure,AGENCY MANAGEMENT,95
2013,RM0,DBH,"Behavioral Health, Department of",DMH suicide preventon training WMATA staff and receive calls WMATA Lifeline,Raw Number,Outcome,Neutral,Annual,0,,,,,0,Not Rated W,Workload Measure,MENTAL HEALTH AUTHORITY,96
2013,RM0,DBH,"Behavioral Health, Department of",Develop Assertive Community Treatment  (ACT) Scorecard,Raw Number,Outcome,Neutral,Annual,0,,,,,0,Not Rated W,Workload Measure,MENTAL HEALTH AUTHORITY,97
2013,RM0,DBH,"Behavioral Health, Department of","Elopements per 1,000 patient days",Percentage,Outcome,Down is Better,Annual,0.28,,,,0.02,0.02, > 100%,Fully Achieved,SAINT ELIZABETHS HOSPITAL,98
2013,RM0,DBH,"Behavioral Health, Department of",Establish benchmarks for supported employment,Raw Number,Outcome,Neutral,Annual,0,,,,,0,Not Rated W,Workload Measure,MENTAL HEALTH AUTHORITY,99
2013,RM0,DBH,"Behavioral Health, Department of",Expand DMH disaster mental health response capacity,Raw Number,Outcome,Neutral,Annual,0,,,,65,65,Not Rated W,Workload Measure,MENTAL HEALTH AUTHORITY,100
2013,RM0,DBH,"Behavioral Health, Department of",Expand access to early childhood services � Primary Project ,Raw Number,Outcome,Up is Better,Annual,35,,,,35,35,100%,Fully Achieved,AGENCY MANAGEMENT,101
2013,RM0,DBH,"Behavioral Health, Department of",Improve total Medicaid claims paid by facilitating providers reducing DHCF denials,Percentage,Outcome,Down is Better,Annual,5,,,,4.62,4.62, > 100%,Fully Achieved,MENTAL HEALTH FINANCING/FEE FOR SERVICE           ,102
2013,RM0,DBH,"Behavioral Health, Department of",Increase C/Y receiving FFT,Percentage,Outcome,Up is Better,Annual,20,,,,120.07,120.07, > 100%,Fully Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,103
2013,RM0,DBH,"Behavioral Health, Department of",Increase C/Y receiving HFW,Percentage,Outcome,Up is Better,Annual,20,,,,99.7,99.7, > 100%,Fully Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,104
2013,RM0,DBH,"Behavioral Health, Department of",Increase C/Y receiving MST,Percentage,Outcome,Up is Better,Annual,20,,,,69.89,69.89, > 100%,Fully Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,105
2013,RM0,DBH,"Behavioral Health, Department of",Increase grievance process training ,Raw Number,Outcome,Up is Better,Annual,2,,,,3,3, > 100%,Fully Achieved,MENTAL HEALTH AUTHORITY,106
2013,RM0,DBH,"Behavioral Health, Department of",Increase new supported housing vouchers/subsidies and/or capital housing units and develop a housing plan,Raw Number,Outcome,Up is Better,Annual,200,,,,128,128,64%,Not Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,107
2013,RM0,DBH,"Behavioral Health, Department of",Increase number of consumers receiving supported employment service,Percentage,Outcome,Up is Better,Annual,963,,,,82.45,82.45,8.56%,Not Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,108
2013,RM0,DBH,"Behavioral Health, Department of",Involuntary acute admissions to Saint Elizabeths Hospital,Percentage,Outcome,Neutral,Annual,0,,,,0.97,0.97,Not Rated W,Workload Measure,AGENCY MANAGEMENT,109
2013,RM0,DBH,"Behavioral Health, Department of",MHSD intake/Same Day Service Urgent Care Clinic � child/youth ,Raw Number,Outcome,Neutral,Annual,0,,,,327,327,Not Rated W,Workload Measure,AGENCY MANAGEMENT,110
2013,RM0,DBH,"Behavioral Health, Department of",Mental Health Services Division (MHSD) intake/Same Day Service Urgent Care Clinic � adults,Raw Number,Outcome,Neutral,Annual,0,,,,3628,3628,Not Rated W,Workload Measure,AGENCY MANAGEMENT,111
2013,RM0,DBH,"Behavioral Health, Department of",Method to assess need for supported employment and referral of consumers to service,Percentage,Outcome,Up is Better,Annual,60,,,,59.31,59.31,99%,Partially Achieved,MENTAL HEALTH SERVICES AND SUPPORTS               ,112
2013,RM0,DBH,"Behavioral Health, Department of",Missing documentation of medication administration results ,Percentage,Outcome,Down is Better,Annual,0.3,,,,0.1,0.1, > 100%,Fully Achieved,SAINT ELIZABETHS HOSPITAL,113
2013,RM0,DBH,"Behavioral Health, Department of",Number of Comprehensive Psychiatric Emergency Program (CPEP) visits   ,Raw Number,Outcome,Neutral,Annual,0,,,,3961,3961,Not Rated W,Workload Measure,AGENCY MANAGEMENT,114
2013,RM0,DBH,"Behavioral Health, Department of",Number of adult consumers served,Raw Number,Outcome,Neutral,Annual,0,,,,18680,18680,Not Rated W,Workload Measure,AGENCY MANAGEMENT,115
2013,RM0,DBH,"Behavioral Health, Department of",Number of adult mobile crisis team visits ,Raw Number,Outcome,Neutral,Annual,0,,,,1382,1382,Not Rated W,Workload Measure,AGENCY MANAGEMENT,116
2013,RM0,DBH,"Behavioral Health, Department of",Number of child mobile crisis team visits ,Raw Number,Outcome,Neutral,Annual,0,,,,608,608,Not Rated W,Workload Measure,AGENCY MANAGEMENT,117
2013,RM0,DBH,"Behavioral Health, Department of",Number of child/youth consumers served,Raw Number,Outcome,Neutral,Annual,0,,,,4126,4126,Not Rated W,Workload Measure,AGENCY MANAGEMENT,118
2013,RM0,DBH,"Behavioral Health, Department of",Number of claims audits conducted ,Raw Number,Outcome,Neutral,Annual,0,,,,79,79,Not Rated W,Workload Measure,AGENCY MANAGEMENT,119
2013,RM0,DBH,"Behavioral Health, Department of",Objectives and nursing interventions training,Percentage,Outcome,Up is Better,Annual,95,,,,98.07,98.07, > 100%,Fully Achieved,SAINT ELIZABETHS HOSPITAL,120
2013,RM0,DBH,"Behavioral Health, Department of","Patient injuries per 1,000 patient days",Percentage,Outcome,Down is Better,Annual,0.27,,,,0.03,0.03, > 100%,Fully Achieved,SAINT ELIZABETHS HOSPITAL,121
2013,RM0,DBH,"Behavioral Health, Department of",Percentage of Patients re-admitted to Saint Elizabeths Hospital within 30 days of discharge ,Percentage,Outcome,Down is Better,Annual,6,,,,5.59,5.59, > 100%,Fully Achieved,SAINT ELIZABETHS HOSPITAL,122
2013,RM0,DBH,"Behavioral Health, Department of",Provider Scorecard- providers� average  financial score ,Ratio,Outcome,Neutral,Annual,0,,,,69.12,69.12,Not Rated W,Workload Measure,MENTAL HEALTH AUTHORITY,123
2013,RM0,DBH,"Behavioral Health, Department of",Provider site grievance process training,Raw Number,Outcome,Up is Better,Annual,2,,,,1,1,50%,Not Achieved,MENTAL HEALTH AUTHORITY,124
2013,RM0,DBH,"Behavioral Health, Department of",Total  Patients Served Per Day,Raw Number,Outcome,Down is Better,Annual,275,,,,256,256, > 100%,Fully Achieved,SAINT ELIZABETHS HOSPITAL,125
