Fiscal_Year,Agency_Budget_Code,Agency_Acronym,Agency_Full_Name_,Measure_Name,Data_Type_Formula,Measure_Type,Directionality,Frequency,YE_Target,Q1_Actual,Q2_Actual,Q3_Actual,Q4_Actual,YE_Actual,YE_Rating_%,Rating,Budget_Program,OBJECTID
2009,RL0,CFSA,Child and Family Services Agency,Percent of children in foster care who achieve permanency,Percentage,Input,Up is Better,Quarterly,48,10.840000,19.670000,29.180000,39.280000,24.600000,51.26%,Not Achieved,CHILD WELFARE PROGRAM,22
2009,RL0,CFSA,Child and Family Services Agency,Percent of children in-home receiving at least 2 visits per month from the social worker,Percentage,Input,Up is Better,Quarterly,50,61.030000,72,74.430000,77.880000,71.090000, > 100%,Fully Achieved,CHILD WELFARE PROGRAM,23
2009,RL0,CFSA,Child and Family Services Agency,Percent of children receiving in-home services,Percentage,Input,Neutral,Quarterly,0,43.900000,42.970000,43.260000,46.990000,44.230000,Not Rated W,Workload Measure,CHILD WELFARE PROGRAM,24
2009,RL0,CFSA,Child and Family Services Agency,"Percent of children who were victims of substantiated or indicated abuse or neglect during the 1st six months of the reporting year, who did not experience another incident of substantiated or indicated abuse or neglect within a 6-month period.",Percentage,Input,Down is Better,Quarterly,94.6,,,,,N/A,No Data,Not Rated Insufficient Data,CHILD WELFARE PROGRAM,25
2009,RL0,CFSA,Child and Family Services Agency,Percent of children with a permanency goal of adoption in an approved adoptive placement 9 months of their goal becoming adoption,Percentage,Input,Up is Better,Quarterly,85,51.470000,68.660000,67.200000,61.880000,62.190000,73.16%,Not Achieved,CHILD WELFARE PROGRAM,26
2009,RL0,CFSA,Child and Family Services Agency,Total number of licensed foster homes ,Raw Number,Input,Up is Better,Quarterly,930,913,910,899,880,3602, > 100%,Fully Achieved,CHILD WELFARE PROGRAM,27
2009,RM0,DBH,"Behavioral Health, Department of",Crisis Stabilization beds utilization,Percentage,Demand,Up is Better,Quarterly,80,69.700000,80.730000,73.410000,82.780000,76.480000,96%,Partially Achieved,COMMUNITY CONTRACT PROVIDERS,28
2009,RM0,DBH,"Behavioral Health, Department of",Number of Dixon exit criteria target met and approved for inactive monitoring by the Court Monitor,Raw Number,Outcome,Up is Better,Semi-annual,13,3,,3,,6,46%,Not Achieved,MENTAL HEALTH AUTHORITY,29
2009,RM0,DBH,"Behavioral Health, Department of",Number of new affordable housing units funded,Raw Number,Input,Up is Better,Quarterly,150,77,0,30,34,141,94%,Partially Achieved,COMMUNITY CONTRACT PROVIDERS,30
2009,RM0,DBH,"Behavioral Health, Department of",Numer of Adult Mobile Crisis Team visits,Raw Number,Demand,Up is Better,Annual,700,,,,1089,1089, > 100%,Fully Achieved,MENTAL HEALTH AUTHORITY,31
2009,RM0,DBH,"Behavioral Health, Department of","Percent of MHRS eligible adults discharged from inpatient psychiatric hospitals that receive a community-based, non-emergency service within 7 days of discharge.",Percentage,Outcome,Up is Better,Quarterly,60,44.380000,77.330000,52.830000,33.150000,53.510000,89.19%,Partially Achieved,COMMUNITY SERVICES AGENCY,32
2009,RM0,DBH,"Behavioral Health, Department of","Percent of MHRS eligible children discharged from inpatient psychiatric hospitals that receive a community-based, non-emergency service within 7 days of discharge.",Percentage,Outcome,Up is Better,Quarterly,60,34.920000,78.130000,52.780000,29.270000,54.040000,90.07%,Partially Achieved,MENTAL HEALTH AUTHORITY,33
2009,RM0,DBH,"Behavioral Health, Department of",Percent of Medicaid claims submitted to DHCF that are paid.,Percentage,Outcome,Up is Better,Quarterly,82,82.060000,79.380000,79.750000,85.900000,82.860000, > 100%,Fully Achieved,MENTAL HEALTH AUTHORITY,34
2009,RM0,DBH,"Behavioral Health, Department of",Percent of patients readmitted to Saint Elizabeths Hospital within 180 days of discharge,Percentage,Outcome,Down is Better,Annual,23,,,27.740000,,27.740000,83%,Partially Achieved,SAINT ELIZABETHS HOSPITAL,35
2009,RM0,DBH,"Behavioral Health, Department of",Percent of patients readmitted to Saint Elizabeths Hospital within 30 days of discharge,Percentage,Outcome,Down is Better,Quarterly,9,12.240000,5.520000,9.150000,11.040000,9.520000,95%,Partially Achieved,SAINT ELIZABETHS HOSPITAL,36
2009,RM0,DBH,"Behavioral Health, Department of",Percent of schools with a school-based mental health program.,Percentage,Input,Up is Better,Annual,23.3,,,,23.680000,23.680000, > 100%,Fully Achieved,COMMUNITY CONTRACT PROVIDERS,37
2009,RM0,DBH,"Behavioral Health, Department of",Percentage of clean claims adjudicated by DHCF or MCO within 5 business days of submission,Percentage,Outcome,Up is Better,Quarterly,95,100,100,99.300000,97.790000,98.670000, > 100%,Fully Achieved,MENTAL HEALTH AUTHORITY,38
2009,RM0,DBH,"Behavioral Health, Department of",The number of  child consumers served over the entire fiscal year.,Raw Number,Demand,Up is Better,Annual,4250,,,,3438,3438,80.89%,Partially Achieved,MENTAL HEALTH AUTHORITY,39
2009,RM0,DBH,"Behavioral Health, Department of",The number of CPEP visits,Raw Number,Demand,Up is Better,Annual,3780,,,,4271,4271, > 100%,Fully Achieved,MENTAL HEALTH AUTHORITY,40
2009,RM0,DBH,"Behavioral Health, Department of",Total number of adult consumers receiving an ACT service,Raw Number,Demand,Up is Better,Quarterly,500,403,75,64,77,619, > 100%,Fully Achieved,MENTAL HEALTH AUTHORITY,41
2009,RM0,DBH,"Behavioral Health, Department of",Total number of adult consumers served,Raw Number,Demand,Up is Better,Annual,13500,,,,13023,13023,96.47%,Partially Achieved,MENTAL HEALTH AUTHORITY,42
2009,BE0,DCHR,"Human Resources, Department of",% of MSS positions held by DC residents,Percentage,Efficiency,Up is Better,Annual,40,,,,33.860000,33.860000,85%,Partially Achieved,PERSONNEL OPERATIONS,43
2009,BE0,DCHR,"Human Resources, Department of",% of highly rated Capital City Fellows & Emerging Leaders accepting District positions upon completion of program,Percentage,Efficiency,Up is Better,Annual,45,,,,58.820000,58.820000, > 100%,Fully Achieved,"POLICY, PROGRAM AND PROF. DEVELOPMENT",44
2009,BE0,DCHR,"Human Resources, Department of",% of new hires brought on board within 30 business days after job closing,Percentage,Efficiency,Up is Better,Annual,85,,,,69.940000,69.940000,82.29%,Partially Achieved,PERSONNEL OPERATIONS,45
2009,BE0,DCHR,"Human Resources, Department of",% of new hires retained one year after probationary period,Percentage,Efficiency,Up is Better,Annual,80,,,,99.950000,99.950000, > 100%,Fully Achieved,PERSONNEL OPERATIONS,46
2009,BE0,DCHR,"Human Resources, Department of",Increase in number of applicants for hard-to-fill positions or under-represented populations based on focused recruiting efforts,Percentage,Efficiency,Up is Better,Annual,15,,,,15.830000,15.830000, > 100%,Fully Achieved,PERSONNEL OPERATIONS,47
2009,BE0,DCHR,"Human Resources, Department of",Percent of applicants reporting satisfied or extremely satisfied with DCHR customer service,Percentage,Quality,Up is Better,Quarterly,80,95.370000,98.290000,98.910000,97.380000,97.970000, > 100%,Fully Achieved,PERSONNEL OPERATIONS,48
2009,BE0,DCHR,"Human Resources, Department of",Percent of certified Public Managers transitioning into management positions within one year of certification,Percentage,Efficiency,Up is Better,Annual,10,,,,25,25, > 100%,Fully Achieved,PERSONNEL OPERATIONS,49
2009,BE0,DCHR,"Human Resources, Department of",Percent of managers indicating satisfaction with application delivery.  ,Percentage,Outcome,Up is Better,Quarterly,80,95.870000,97.270000,96.710000,94.740000,96.210000, > 100%,Fully Achieved,PERSONNEL OPERATIONS,50
2009,DC0,DCL,Lottery and Charitable Games COntrol Board,1st quarter transfer,Dollar Amount,Output,Up is Better,Quarterly,65350000,18175000,17500000,13800000,,49475000,75.71%,Partially Achieved,GAMING OPERATIONS PROGRAM,51
2009,FK0,DCNG,"National Guard, District of Columbia",# of completion/graduates from About Face Program,Ratio,Output,Up is Better,Semi-annual,75,,,,,N/A,No Data,Not Rated Insufficient Data,EMERGENCY RESPONSE,52
2009,FK0,DCNG,"National Guard, District of Columbia",# of completion/graduates from Youth Leaders Camp,Ratio,Output,Up is Better,Annual,120,,,,0.940000,0.940000,0.78%,Not Achieved,EMERGENCY RESPONSE,53
2009,FK0,DCNG,"National Guard, District of Columbia",# of participants from Drug Education for Youth (DEFY) program,Ratio,Output,Up is Better,Annual,120,,,,1,1,0.83%,Not Achieved,EMERGENCY RESPONSE,54
2009,FK0,DCNG,"National Guard, District of Columbia",# of participants from Youth Challenge program (DCYCP),Ratio,Output,Neutral,Semi-annual,60,0.470000,,,,0.900000,Not Rated B,Baseline Measure,EMERGENCY RESPONSE,55
2009,FK0,DCNG,"National Guard, District of Columbia",End strength,Ratio,Output,Up is Better,Quarterly,2654,1,1,1,1,1,0.04%,Not Achieved,EMERGENCY RESPONSE,56
2009,FK0,DCNG,"National Guard, District of Columbia",Number of Counter Drug Operation,Ratio,Output,Up is Better,Quarterly,50,0.600000,,,,2.760000,5.52%,Not Achieved,EMERGENCY RESPONSE,57
2009,FK0,DCNG,"National Guard, District of Columbia",Nunber of Civil Support Team exercise hours,Ratio,Output,Up is Better,Quarterly,5900,0.130000,,,,1,0.02%,Not Achieved,EMERGENCY RESPONSE,58
2009,FK0,DCNG,"National Guard, District of Columbia",Nunber of Preparedness exercises,Ratio,Output,Up is Better,Quarterly,20,0.250000,,,,0.500000,2.50%,Not Achieved,EMERGENCY RESPONSE,59
2009,BY0,DCOA,"Aging, District of Columbia Office on",Number of customers tracked and entered in database for all services,Raw Number,Input,Up is Better,Annual,25000,,,,30255,30255, > 100%,Fully Achieved,AGENCY MANAGEMENT SERVICES,60
2009,BY0,DCOA,"Aging, District of Columbia Office on",Number of elderly and disabled customers served for all services,Raw Number,Input,Up is Better,Annual,450,,,,261,261,58.00%,Not Achieved,COMMUNITY BASED SUPPORT PROGRAM,61
2009,BY0,DCOA,"Aging, District of Columbia Office on",Number of organized aging in place programs and senior villages funded and operational,Raw Number,Input,Up is Better,Quarterly,5,2,3,0,0,5,100%,Fully Achieved,COMMUNITY BASED SUPPORT PROGRAM,62
2009,BY0,DCOA,"Aging, District of Columbia Office on","Number of seniors receiving health promotion, nutrition education and counselling programs at centers and newtowrk sites",Raw Number,Output,Up is Better,Annual,12000,,,,6336,6336,52.80%,Not Achieved,"CONSUMER INFO.,ASSISTANCE & OUTREACH",63
2009,BY0,DCOA,"Aging, District of Columbia Office on",Number of youths involved in intergenerational programs,Raw Number,Input,Up is Better,Quarterly,3300,2,2,51,313,368,11.15%,Not Achieved,"CONSUMER INFO.,ASSISTANCE & OUTREACH",64
2009,BY0,DCOA,"Aging, District of Columbia Office on",Percentage of persons requesting and receiving nutritious meals,Percentage,Demand,Up is Better,Quarterly,98,100,100,100,100,100, > 100%,Fully Achieved,"CONSUMER INFO.,ASSISTANCE & OUTREACH",65
2009,BY0,DCOA,"Aging, District of Columbia Office on",Percentage of seniors seeking employment and received job placements,Percentage,Output,Up is Better,Quarterly,55,16.150000,43.280000,24.490000,22.410000,24.330000,44.24%,Not Achieved,COMMUNITY BASED SUPPORT PROGRAM,66
2009,BY0,DCOA,"Aging, District of Columbia Office on",Percentage of site plan completed for elderly housing at WCAS,Percentage,Output,Up is Better,Quarterly,100,0,,,,0,0.00%,Not Achieved,COMMUNITY BASED SUPPORT PROGRAM,67
2009,BY0,DCOA,"Aging, District of Columbia Office on",Percentage of the elderly 60 & older who remain in their home and age in place as a result of supportive services & community-based care,Percentage,Output,Up is Better,Quarterly,95,100,100,100,100,100, > 100%,Fully Achieved,COMMUNITY BASED SUPPORT PROGRAM,68
2009,BY0,DCOA,"Aging, District of Columbia Office on",Percentage of wellness center participants who increase their awareness and adopt healthy behaviors as identified by improvements in their overall health ,Percentage,Output,Up is Better,Quarterly,60,84.990000,85,85.010000,84.970000,84.990000, > 100%,Fully Achieved,COMMUNITY BASED SUPPORT PROGRAM,69
2009,RP0,DCOCA,"Community Affairs, Office of","Attend all civic association meetings, ANCs and PSA meetings each at least six (6) times a year ",Raw Number,Output,Up is Better,Annual,1428,,,,1600,1600, > 100%,Fully Achieved,"COMMUNITY RELATIONS & SERVICES, OFFICE OF",70
2009,RP0,DCOCA,"Community Affairs, Office of","Conduct at least one (1) multi-agency ""Operation Fix-It"" in each of the eight (8) wards of the District of Columbia weekly.  ",Raw Number,Output,Up is Better,Annual,416,,,,1776,1776, > 100%,Fully Achieved,CONSTITUENT AFFARIS,71
2009,RP0,DCOCA,"Community Affairs, Office of",Improve standing in the quarterly District Governments Customer Service Report from bottom ten agencie,Raw Number,Quality,Up is Better,Annual,40,,,,52,52, > 100%,Fully Achieved,AGENCY MANAGEMENT SUPPORT,72
2009,BJ0,DCOZ,"Zoning, Office of",# of BZA Cases Filed,Raw Number,Demand,Neutral,Quarterly,160,30,27,39,26,122,Not Rated B,Baseline Measure,ZONING SERVICES,73
2009,BJ0,DCOZ,"Zoning, Office of",# of Visitors to OZ Website,Raw Number,Demand,Neutral,Quarterly,20000,0,,22570,22353,44923,Not Rated B,Baseline Measure,ZONING SERVICES,74
2009,BJ0,DCOZ,"Zoning, Office of",# of ZC Cases Filed,Raw Number,Demand,Neutral,Quarterly,30,9,9,13,13,44,Not Rated B,Baseline Measure,ZONING SERVICES,75
2009,BJ0,DCOZ,"Zoning, Office of",# of ZC Hearings for the Zoning Regulations Revision (ZRR),Raw Number,Demand,Neutral,Quarterly,15,8,5,4,1,18,Not Rated B,Baseline Measure,ZONING SERVICES,76
2009,BJ0,DCOZ,"Zoning, Office of",# of ZC Orders Issued ,Raw Number,Demand,Neutral,Quarterly,40,10,11,21,17,59,Not Rated B,Baseline Measure,ZONING SERVICES,77
2009,BJ0,DCOZ,"Zoning, Office of",% of BZA Orders Issued Within 3 Weeks of Decision,Percentage,Efficiency,Up is Better,Quarterly,75,79.550000,76.920000,67.350000,70.370000,73.580000,98.11%,Fully Achieved,ZONING SERVICES,78
2009,BJ0,DCOZ,"Zoning, Office of",% of Inquiries Responded to Within 24 Hours,Percentage,Efficiency,Up is Better,Quarterly,95,97.060000,95.650000,100,99.020000,98.230000, > 100%,Fully Achieved,ZONING SERVICES,79
2009,FH0,DCPC,"Police Complaints, Office of",Actual number of policy recommendations issued,Raw Number,Output,Neutral,Annual,5,,,,5,5,Not Rated B,Baseline Measure,POLICY RECOMMENDATION,80
2009,FH0,DCPC,"Police Complaints, Office of",Number of Outreach activities attended or sponsored by OPC,Raw Number,Output,Up is Better,Annual,20,,,,27,27, > 100%,Fully Achieved,PUBLIC RELATIONS,81
2009,FH0,DCPC,"Police Complaints, Office of",Percent of Complaint Examiner decisions issued within 120 days.,Percentage,Efficiency,Up is Better,Annual,90,,,,100,100, > 100%,Fully Achieved,COMPLAINT RESOLUTION,82
2009,FH0,DCPC,"Police Complaints, Office of",Percent of investigations completed and reports produced in six months,Percentage,Outcome,Up is Better,Annual,65,,,,74.920000,74.920000, > 100%,Fully Achieved,COMPLAINT RESOLUTION,83
2009,CE0,DCPL,"Public Library, District of Columbia",Annual circulation of books and other library materials,Raw Number,Quality,Up is Better,Quarterly,1769662,526633,571109,577364,662430,2337536, > 100%,Fully Achieved,BOOKS AND MEDIA,84
2009,CE0,DCPL,"Public Library, District of Columbia",Cardholders as a % of total population,Percentage,Demand,Up is Better,Quarterly,45.58,41.060000,54.490000,23.910000,23.840000,35.820000,78.59%,Partially Achieved,LIBRARY SERVICES,85
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in attendance at programs for children in their 1st five years,Raw Number,Outcome,Up is Better,Quarterly,84846,19077,19229,22239,23407,83952,98.95%,Partially Achieved,OUTREACH SERVICES,86
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in circulation of childrens materials,Raw Number,Quality,Up is Better,Quarterly,578016,142997,151820,146706,162813,604336, > 100%,Fully Achieved,BOOKS AND MEDIA,87
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in number of GED practice tests administered,Raw Number,Outcome,Up is Better,Quarterly,1057,241,286,276,245,1048,99.15%,Partially Achieved,OUTREACH SERVICES,88
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in number of adult learners seeking assistance,Raw Number,Outcome,Up is Better,Quarterly,2712,677,694,525,741,2637,97.23%,Partially Achieved,OUTREACH SERVICES,89
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in the number of books downloaded,Raw Number,Quality,Up is Better,Quarterly,8091,2657,3690,3743,4033,14123, > 100%,Fully Achieved,BOOKS AND MEDIA,90
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in the number of new Libary Cards for Children,Raw Number,Demand,Up is Better,Quarterly,6931,1753,1060,1362,2239,6414,92.54%,Partially Achieved,LIBRARY MATERIALS AND THEIR USE,91
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in the number of new library cards for teens,Raw Number,Demand,Up is Better,Quarterly,10293,3036,2722,2037,3096,10891, > 100%,Fully Achieved,LIBRARY MATERIALS AND THEIR USE,92
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in the number of people using on-line homework help,Raw Number,Outcome,Up is Better,Quarterly,2747,1180,664,424,384,2652,96.54%,Partially Achieved,LIBRARY SERVICES,93
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in the number of sessions of remote access to Librarys electronic resources,Raw Number,Quality,Up is Better,Quarterly,181750,38026,31729,27136,28553,125444,69.02%,Not Achieved,BOOKS AND MEDIA,94
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in the number of sessions on public access computers by children,Raw Number,Outcome,Up is Better,Quarterly,110941,35079,32492,48046,33132,148749, > 100%,Fully Achieved,LIBRARY SERVICES,95
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in the number of sessions on public access computers by teens and adults,Raw Number,Outcome,Up is Better,Quarterly,460776,102860,97062,87859,76154,363935,78.98%,Partially Achieved,LIBRARY SERVICES,96
2009,CE0,DCPL,"Public Library, District of Columbia",Increase in the number of story hours for children,Raw Number,Output,Up is Better,Quarterly,2508,564,699,727,598,2588, > 100%,Fully Achieved,OUTREACH SERVICES,97
2009,CE0,DCPL,"Public Library, District of Columbia",Increase participation and completion rates in summer reading for pre-school and elementary school age children,Raw Number,Outcome,Up is Better,Annual,36225,,,,27674,27674,76.39%,Partially Achieved,OUTREACH SERVICES,98
2009,CE0,DCPL,"Public Library, District of Columbia",Increase participation in teen summer reading programs,Raw Number,Outcome,Up is Better,Annual,5489,,,,4126,4126,75%,Partially Achieved,OUTREACH SERVICES,99
2009,CE0,DCPL,"Public Library, District of Columbia",Increase the number of public access computers,Raw Number,Output,Up is Better,Quarterly,508,456,51,32,55,594, > 100%,Fully Achieved,LIBRARY SERVICES,100
2009,CE0,DCPL,"Public Library, District of Columbia",Number of Library renovations/constructions on schedule for design phase,Percentage,Efficiency,Up is Better,Annual,100,,,,100,100,100%,Fully Achieved,LIBRARY SERVICES,101
2009,CE0,DCPL,"Public Library, District of Columbia",Number of attendees at Library sponsored programs,Raw Number,Outcome,Up is Better,Quarterly,247244,43338,39372,53343,58187,194240,78.56%,Partially Achieved,OUTREACH SERVICES,102
2009,CE0,DCPL,"Public Library, District of Columbia",Number of libraries re-opened in accordance with schedule,Percentage,Efficiency,Up is Better,Annual,100,,,,100,100,100.00%,Fully Achieved,LIBRARY SERVICES,103
2009,CE0,DCPL,"Public Library, District of Columbia",Number of library renovations/constructions on schedule for construction phase,Percentage,Efficiency,Up is Better,Annual,100,,,,71.430000,71.430000,71.43%,Not Achieved,LIBRARY SERVICES,104
2009,CE0,DCPL,"Public Library, District of Columbia",Number of participants at community sponsored meetings,Raw Number,Demand,Up is Better,Quarterly,163329,35127,37318,41536,34810,148791,91.10%,Partially Achieved,OUTREACH SERVICES,105
2009,CE0,DCPL,"Public Library, District of Columbia",Number of website user visits,Raw Number,Quality,Up is Better,Quarterly,449537,108873,176677,199939,488195,973684, > 100%,Fully Achieved,LIBRARY MATERIALS AND THEIR USE,106
2009,GA0,DCPS,"Public Schools, District of Columbia",# of days to complete purchases off of DC Supply Schedule,Raw Number,Quality,Down is Better,Quarterly,6.5,,,,4,4, > 100%,Fully Achieved,NON-INSTRUCTIONAL SUPPORT SERVICES,107
2009,GA0,DCPS,"Public Schools, District of Columbia",# schools qualifying for Provision 2,Raw Number,Output,Up is Better,Annual,24,,,,77,77, > 100%,Fully Achieved,NON-INSTRUCTIONAL SUPPORT SERVICES,108
2009,GA0,DCPS,"Public Schools, District of Columbia",# students referred to non-public schools,Raw Number,Outcome,Down is Better,Quarterly,0,,,,,N/A,No Data,Not Rated Insufficient Data,TITLE 2 GRANTS,109
2009,GA0,DCPS,"Public Schools, District of Columbia",% 9th - 11th grade students taking the PSAT,Percentage,Output,Up is Better,Annual,78,,72,,,72,92.31%,Partially Achieved,INSTITUTIONAL SUPPORT SERVICES,110
2009,GA0,DCPS,"Public Schools, District of Columbia",% AP tests scored at 3 or better,Percentage,Outcome,Up is Better,Annual,25,,,,33,33, > 100%,Fully Achieved,INSTITUTIONAL SUPPORT SERVICES,111
2009,GA0,DCPS,"Public Schools, District of Columbia",% Elementary students proficient in math,Percentage,Outcome,Up is Better,Annual,43,,,,49,49, > 100%,Fully Achieved,TITLE 2 GRANTS,112
2009,GA0,DCPS,"Public Schools, District of Columbia",% IEPs completed timely,Percentage,Quality,Up is Better,Quarterly,80,,,,87.710000,87.710000, > 100%,Fully Achieved,TITLE 2 GRANTS,113
2009,GA0,DCPS,"Public Schools, District of Columbia",% assessments completed timely,Percentage,Quality,Up is Better,Quarterly,78,,,,,N/A,No Data,Not Rated Insufficient Data,TITLE 2 GRANTS,114
2009,GA0,DCPS,"Public Schools, District of Columbia",% elementary students proficient in reading,Percentage,Outcome,Up is Better,Annual,49,,,49,,49,100%,Fully Achieved,STUDENT SUPPORT SERVICES,115
2009,GA0,DCPS,"Public Schools, District of Columbia",% faculty and staff satisfied with central office services,Percentage,Quality,Up is Better,Annual,59,,,,61,61, > 100%,Fully Achieved,NON-INSTRUCTIONAL SUPPORT SERVICES,116
2009,GA0,DCPS,"Public Schools, District of Columbia",% faculty and staff satisfied with school facilities,Percentage,Outcome,Up is Better,Annual,67,,,,72,72, > 100%,Fully Achieved,TITLE 2 GRANTS,117
2009,GA0,DCPS,"Public Schools, District of Columbia",% high school students taking at least 1 AP exam,Percentage,Output,Up is Better,Annual,17,,,,13,13,76%,Partially Achieved,INSTITUTIONAL SUPPORT SERVICES,118
2009,GA0,DCPS,"Public Schools, District of Columbia",% of HS students with IGP accounts,Percentage,Input,Up is Better,Annual,100,100,,,,100,100%,Fully Achieved,INSTITUTIONAL SUPPORT SERVICES,119
2009,GA0,DCPS,"Public Schools, District of Columbia",% of Teachers using the Benchmark System,Percentage,Quality,Up is Better,Quarterly,25,,,42,,42, > 100%,Fully Achieved,NON-INSTRUCTIONAL SUPPORT SERVICES,120
